=== FW_RANDOM batch starts @ Mon Nov 10 16:15:01 UTC 2025 (DUR=3600s) ===
[BUILD] p=5% r=2 d=10ms
[RUN ] p=5% r=2 d=10ms → /home/cc/trace-ACER/trace_replayer/logs_fw_random/alibaba_fw_random_p5_d10_r2_20251110-161501.log
Device ==> /home/cc/nvme.img
Trace ==> /home/cc/traces/alibaba.trace
Logfile ==> /home/cc/trace-ACER/trace_replayer/logs_fw_random/alibaba_fw_random_p5_d10_r2_20251110-161501.log
there are [3886735] IOs in total in trace:/home/cc/traces/alibaba.trace
0.000 46 23979941888 4096 0
Disk size is 90093836 MB
    in Bytes 94470234793568 B
0.00,23979941888,4096,0
Start doing IO replay...
Progress: 0.00% (62/3886735), Late rate: 0.00% (1), Slack rate: 0.00% (0)
Progress: 0.00% (111/3886735), Late rate: 0.00% (1), Slack rate: 0.00% (42)
Progress: 0.00% (191/3886735), Late rate: 0.00% (1), Slack rate: 0.00% (122)
Progress: 0.01% (209/3886735), Late rate: 0.00% (1), Slack rate: 0.00% (140)
Progress: 0.01% (216/3886735), Late rate: 0.00% (1), Slack rate: 0.00% (147)
Progress: 0.01% (238/3886735), Late rate: 0.00% (1), Slack rate: 0.00% (169)
Progress: 0.01% (243/3886735), Late rate: 0.00% (1), Slack rate: 0.00% (174)
Progress: 0.01% (254/3886735), Late rate: 0.00% (1), Slack rate: 0.00% (185)
Progress: 0.01% (308/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (239)
Progress: 0.01% (321/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (252)
Progress: 0.01% (328/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (259)
Progress: 0.01% (334/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (265)
Progress: 0.01% (344/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (275)
Progress: 0.01% (376/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (307)
Progress: 0.01% (380/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (311)
Progress: 0.01% (393/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (324)
Progress: 0.01% (399/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (330)
Progress: 0.01% (409/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (340)
Progress: 0.01% (433/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (364)
Progress: 0.01% (446/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (377)
Progress: 0.01% (458/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (389)
Progress: 0.01% (471/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (402)
Progress: 0.01% (480/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (411)
Progress: 0.01% (515/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (446)
Progress: 0.01% (523/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (454)
Progress: 0.01% (533/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (464)
Progress: 0.01% (537/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (468)
Progress: 0.01% (544/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (475)
Progress: 0.01% (567/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (498)
Progress: 0.01% (575/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (506)
Progress: 0.01% (582/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (513)
Progress: 0.02% (589/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (520)
Progress: 0.02% (598/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (529)
Progress: 0.02% (622/3886735), Late rate: 0.00% (1), Slack rate: 0.01% (553)
